name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
Vipul Ptdr,Vipul Ptdr,5.0,,Local Guide,78 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Rashi Sharma,Rashi Sharma,4.0,,Local Guide,42 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Sarath Kaaranat,Sarath Kaaranat,5.0,,,34 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
A.K Pandey,A.K Pandey,5.0,,Local Guide,57 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Anjaly Pulickal Sajeevu,Anjaly Pulickal Sajeevu,5.0,,Local Guide,42 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Shreya Saha,Shreya Saha,4.0,,Local Guide,137 reviews,4 days ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Dr.Seethal Rose,Dr.Seethal Rose,5.0,,Local Guide,292 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Nirmit Gupta,Nirmit Gupta,5.0,,,170 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
T K Sundararajan,T K Sundararajan,5.0,"Very big park,fairly well maintained. One can take a quick lunch or short rest here. Fountains are large, decorative. Relaxing atmosphere even amidst midday sun.",Local Guide,167 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
LK Pd,LK Pd,5.0,,Local Guide,294 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Saurabh Singh,Saurabh Singh,5.0,,Local Guide,98 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Nandini Bhargava,Nandini Bhargava,5.0,,Local Guide,23 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Arjun Ghosh,Arjun Ghosh,5.0,It is a short place.Queens used to come here with their friends to take bath.entry fees are negligible.The fountains are the most attractive part.One fountain is controlled by 👏.But you have to clap in a special rhythm.,Local Guide,26 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
John Paul,John Paul,4.0,,Local Guide,64 reviews,4 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Priyanka Pillay,Priyanka Pillay,5.0,,Local Guide,52 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Mahesh Raut,Mahesh Raut,5.0,One of the famous tourist attractions of Udaipur.... Beautiful garden with lots of fountains... Well maintained.... Great place to spend the evening with family and friends.... Enjoy 😊,Local Guide,506 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
DIBAKAR CHOWDHURY,DIBAKAR CHOWDHURY,5.0,,Local Guide,133 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Dalim Kumar Baidya,Dalim Kumar Baidya,5.0,,Local Guide,92 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Ajay Kamath,Ajay Kamath,4.0,,,24 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Vijay Prajapati,Vijay Prajapati,4.0,One of the key attraction sites in udaipur. It is a place where the princess and queen used for visits. Easy to locate and reach. It has a beautiful garden with lots of plantations and varieties. It also has a beautiful fountain. Parking can be an issue. If you are visiting you can't miss it,Local Guide,115 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Amey M,Amey M,4.0,,Local Guide,260 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Shrikant Bansal,Shrikant Bansal,5.0,"Beautiful garden with many fountains, well maintained. You will love a walk with your loved ones around this garden. Must visit.",Local Guide,137 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Vishal__ Sharma01,Vishal__ Sharma01,4.0,,Local Guide,283 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Shashank Singh,Shashank Singh,4.0,It's a garden... A very nice garden... If you're travelling to Udaipur and you have somewhat extra time then I would recommend you to visit it but you can skip it if you don't have much time because as I said it's just a very nice garden.,Local Guide,18 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Rahul Kumar,Rahul Kumar,5.0,,Local Guide,104 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Shantanu Khandelwal,Shantanu Khandelwal,4.0,Historic place and good to know about the details with function if water fountain build to have a feel of rain in summers.,Local Guide,139 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Shaijal Tolambiya,Shaijal Tolambiya,4.0,,Local Guide,20 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
ShreyaMusings,ShreyaMusings,5.0,"Enchanting, beautiful, less crowded place to get a diverse historical experience. We took a govt. Affiliate guide who explained everything in detail about this place which was an amazing experience. Restrooms are so what clean",Local Guide,18 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Sahil Chrungu,Sahil Chrungu,4.0,,Local Guide,394 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Mohit Bagayatkar,Mohit Bagayatkar,5.0,,Local Guide,122 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
Ranjit Salvi,Ranjit Salvi,4.0,A well maintained historical monument. The fountains built in ancient times are still working. This shows the engineering skills our ancestors had. Must visit the place along with the local guide.,Local Guide,227 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:14Z
