"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Shankaracharya Hill","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fb/3a/19/shankaracharya-temple.jpg?w=500&h=-1&s=1","","","4.5","2,122","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338348-Reviews-Shankaracharya_Hill-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Indira Gandhi Tulip Garden","foothills of the Zabarwan hills on the banks of Dal Lake, Srinagar 190001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/ed/05/as-the-spring-has-set.jpg?w=500&h=400&s=1","","","4.5","1,128","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d1220203-Reviews-Indira_Gandhi_Tulip_Garden-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Dal Lake","Boulevard Rd, Srinagar 190001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/68/2b/0f/merkmal-des-dal-sees.jpg?w=500&h=-1&s=1","","","4.5","4,278","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d2437492-Reviews-Dal_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Sinthan Top","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8b/1f/1d/as-you-travel-towards.jpg?w=500&h=400&s=1","","","4.5","157","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3211545-Reviews-Sinthan_Top-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Nigeen Lake","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b9/99/4d/nagin-lake.jpg?w=500&h=-1&s=1","","","4.5","1,111","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338344-Reviews-Nigeen_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Sonamarg","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e6/80/3b/sonamarg.jpg?w=500&h=-1&s=1","","","4.5","1,228","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d4068779-Reviews-Sonamarg-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Nishat Garden","Main Road Nishat, Srinagar 191121 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/44/98/b5/nishat-garden.jpg?w=500&h=400&s=1","","","4.0","1,320","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d1228761-Reviews-Nishat_Garden-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Doodhpathri","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/a2/b0/scenery.jpg?w=500&h=400&s=1","","","4.5","95","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d10496373-Reviews-Doodhpathri-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Pari Mahal","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b6/1c/3c/pari-mahal.jpg?w=500&h=-1&s=1","","","4.0","909","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d2085964-Reviews-Pari_Mahal-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Kheer Bhawani Temple","Tullamulla Ganderbal Kheerbhawani, Main Market, Srinagar 191131 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/dd/4e/13/absolutely-blissful-jai.jpg?w=500&h=400&s=1","","","4.5","238","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3531987-Reviews-Kheer_Bhawani_Temple-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Mughal Gardens","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/68/f4/db/chasme-sahi.jpg?w=500&h=-1&s=1","","","4.0","784","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338343-Reviews-Mughal_Gardens-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Hazratbal Masjid","Near Fire Brigade Station, Srinagar 190006 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d2/f1/0a/p1110940-largejpg.jpg?w=500&h=-1&s=1","","","4.0","559","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338346-Reviews-Hazratbal_Masjid-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Yousmarg","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9b/b4/30/landscape.jpg?w=500&h=-1&s=1","","","4.5","247","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d1229613-Reviews-Yousmarg-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Shalimar Bagh","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bb/1b/23/caption.jpg?w=500&h=-1&s=1","","","4.0","771","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d2151516-Reviews-Shalimar_Bagh-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
