"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Ganges River","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/2e/83/cc/photo4jpg.jpg?w=500&h=-1&s=1","","","4.5","5,032","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d319858-Reviews-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Sarnath","Sarnath Via-Anlabereni, Varanasi 759026 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ee/12/6f/stupa.jpg?w=500&h=400&s=1","","","4.5","3,030","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d478221-Reviews-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Dasaswamedh Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f0/86/f7/dasaswamedh-ghat.jpg?w=500&h=400&s=1","","","4.5","1,990","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d324472-Reviews-Dasaswamedh_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Assi Ghat","Sdkfjl, Varanasi 221005 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ae/ed/5d/a-view-of-the-ghats-taken.jpg?w=500&h=400&s=1","","","4.5","1,273","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d321162-Reviews-Assi_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Ruchika Art Gallery","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/16/4a/80/galerie-de-ruchika.jpg?w=500&h=400&s=1","","","5.0","279","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d7361686-Reviews-Ruchika_Art_Gallery-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Banaras Ghats","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/b1/33/f8/banaras-ghats.jpg?w=500&h=400&s=1","","","4.5","1,854","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d317360-Reviews-Banaras_Ghats-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Manikarnika Ghat","Ghasi Tola Road, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/14/4b/photo3jpg.jpg?w=500&h=-1&s=1","","","4.5","1,184","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d324471-Reviews-Manikarnika_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Shri Kashi Vishwanath Temple (Golden Temple)","Lahori Tola, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/53/9f/d4/the-golden-shikhar-of.jpg?w=500&h=400&s=1","","","4.0","1,744","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d320084-Reviews-Shri_Kashi_Vishwanath_Temple_Golden_Temple-Varanasi_Varanasi_District_Uttar_Prades.html","2024-03-01T21:29:16Z"
"New Vishwanath Temple","Banaras Hindu University Campus, Varanasi 221005 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/4d/48/new-vishwanath-temple.jpg?w=500&h=-1&s=1","","","4.5","595","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3811975-Reviews-New_Vishwanath_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Ganga Aarti","Plot No D 16 - 28 - a Dasaswamedh Ghat, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/52/e3/77/img-20190622-190002-largejpg.jpg?w=500&h=-1&s=1","","","4.5","289","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d14049629-Reviews-Ganga_Aarti-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
