"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"The Mall","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ba/74/fe/the-mall.jpg?w=500&h=-1&s=1","","","4.0","2,918","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d319704-Reviews-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Jakhu Hanuman Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/fe/06/jakhu-temple.jpg?w=500&h=400&s=1","","","4.5","2,071","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d320063-Reviews-Jakhu_Hanuman_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Viceregal Lodge","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ff/a4/24/viceregal-lodge-turned.jpg?w=500&h=400&s=1","","","4.5","1,501","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d1469632-Reviews-Viceregal_Lodge-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"The Ridge","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3f/89/e2/church-at-ridge.jpg?w=500&h=400&s=1","","","4.5","957","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d6496310-Reviews-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Indian Institute of Advanced Study","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/0f/81/51/advance-study-shimla.jpg?w=500&h=400&s=1","","","4.5","763","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3220666-Reviews-Indian_Institute_of_Advanced_Study-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Gaiety Heritage Cultural Complex","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/00/ea/f9/gaiety-heritage-cultural.jpg?w=500&h=-1&s=1","","","4.5","348","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3202960-Reviews-Gaiety_Heritage_Cultural_Complex-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Christ Church","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/0f/81/d0/christ-church-shimla.jpg?w=500&h=400&s=1","","","4.0","909","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d2721945-Reviews-Christ_Church-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Annandale Ground","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/3d/cb/dd/annandale.jpg?w=500&h=400&s=1","","","4.5","258","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d2300015-Reviews-Annandale_Ground-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Scandal Point","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/98/64/66/scandal-point.jpg?w=500&h=400&s=1","","","4.0","452","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3733114-Reviews-Scandal_Point-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Green Valley","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/03/58/23/green-valley-1.jpg?w=500&h=400&s=1","","","4.0","383","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d2651232-Reviews-Green_Valley-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
