name,address,email,image,label,phone,rating,review_Count,website,breadcrumb,url,timestamp
Thai Temple,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ed/01/f1/img-20171009-wa0119-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d7/86/shop-near-the-thai-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d7/33/beautiful-garden-and.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d7/17/views-of-lotus-pond-from.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d6/e9/another-statue-of-lord.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d6/b5/statue-of-lord-buddha.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d6/6a/laughing-buddha-statue.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d6/47/close-views-of-the-beautiful.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d6/2e/views-of-thai-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/af/d5/d7/buddhist-monks-in-front.jpg?w=100&h=-1&s=1",,,4.5,80 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3727265-Reviews-Thai_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:52:50Z
Bharat Kala Bhavan,"Varanasi Hindu University Opposit from Institute of Managemet Studies, Varanasi 221005 India",,,,,4.0,72 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d478217-Reviews-Bharat_Kala_Bhavan-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:52:58Z
Harishchandra Ghat,"Bangali Tola Road Near Manasarovar Ghat, Varanasi 221001 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b2/62/bb/photo0jpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/a4/ea/48/temple-near-harish-chander.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f3/a3/9b/harishchandra-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/45/f1/43/harishchandra-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/6c/d7/a3/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/6c/d7/a2/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/6c/d7/a1/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/83/72/fc/harish-chandra-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/83/72/f8/harish-chandra-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/83/72/f1/harish-chandra-ghat.jpg?w=100&h=-1&s=1",,,4.0,139 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d4139125-Reviews-Harishchandra_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:53:15Z
Kedar Ghat,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/21/e5/1d/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/b8/7b/f6/ved-pathi-students-at.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/79/eb/45/kedar-ghat-has-been-exceptiona.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/53/95/reception.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/50/ff/attached-bath-with-hot.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/4e/6d/deluxe-room-with-window.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/4e/0f/deluxe-room-with-window.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/49/fc/super-deluxe-ganga-view.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/1c/49/5d/super-deluxe-ganga-view.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/51/9c/42/passage.jpg?w=100&h=-1&s=1",,,4.5,195 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3705604-Reviews-Kedar_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:53:23Z
Kashi Vishwanath Temple,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/1e/32/img-20180319-074839-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/19/54/ca/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/1e/32/img-20180319-074839-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/29/57/03/this-is-a-type-of-rudrabhishek.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/01/ed/da/kashi-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/01/ed/d7/kashi-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bd/4e/e8/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bd/4e/e7/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bd/4e/e6/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bd/4e/e5/caption.jpg?w=100&h=-1&s=1",,,4.5,83 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d13859556-Reviews-Kashi_Vishwanath_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:53:34Z
Vishalakshi Temple,,,,,,5.0,55 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d10161249-Reviews-Vishalakshi_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:53:47Z
Ashul Sharma,"Man Mandir Ghat D 15/25 Near Varanasi Remembrances Dashashwmedh, Varanasi 221001 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4a/88/60/ashul-sharma.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4a/89/29/ashul-sharma.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4a/88/60/ashul-sharma.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4a/88/1f/ashul-sharma.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5e/4f/3d/ashul-sharma.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3b/ad/3a/magical-oils-full-of.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3b/a9/c3/more-pictures-that-surround.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3b/a9/bd/the-shop-is-filled-with.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3b/a9/b8/lakshmi-altaron-display.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3b/1e/9c/ashul-sharma.jpg?w=100&h=-1&s=1",,,5.0,102 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3378602-Reviews-Ashul_Sharma-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:54:10Z
Archaeological Museum,Visit website,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/4a/56/c4/outside-of-museum.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/df/37/63/archaeological-museum.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/83/0c/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/83/09/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/83/06/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/83/03/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/83/01/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/82/ff/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/28/ff/3a/sculptures-in-archaeological.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/28/ff/39/sculptures-in-archaeological.jpg?w=100&h=-1&s=1",,,4.5,327 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3912765-Reviews-Archaeological_Museum-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:54:18Z
Ganga Aarti,"Plot No D 16 - 28 - a Dasaswamedh Ghat, Varanasi 221001 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/52/e3/77/img-20190622-190002-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/89/eb/view-from-a-nearby-terrace.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/41/20/7f/ganga-aarti.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/52/e3/77/img-20190622-190002-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/1b/1f/69/photo0jpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c3/a7/ee/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c3/a7/ed/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c3/a7/ec/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c3/a7/eb/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a6/11/c8/caption.jpg?w=100&h=-1&s=1",,,4.5,288 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d14049629-Reviews-Ganga_Aarti-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:55:14Z
New Vishwanath Temple,"Banaras Hindu University Campus, Varanasi 221005 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/4d/48/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f5/16/40/interior-simple-e-impecable.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/53/2d/banaras-hindu-university.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/4d/48/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f7/95/7d/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/8a/71/e2/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/17/a3/b8/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/17/a3/50/new-vishwanath-temple.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/24/1d/aa/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/24/1d/a9/caption.jpg?w=100&h=-1&s=1",,,4.5,595 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3811975-Reviews-New_Vishwanath_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:55:24Z
