name,address,geo_id,hotel_id,rating,url,profile_image,review_score,review_heading,profile_contr,review_body,date_of_stay,company_responder,company_response,company_response_date,timestamp
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/Attraction_Review-g297685-d319858-Reviews-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,The Ganges and the ghats of Varanasi,6 contributions,"Very nice Place, I recommend all to visit this place. It is very holy place and place of Lord Vishwonath.",Nov 2023 • Couples,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r884358305-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Beautiful and timeless. Must visit once in a lifetime.,15 contributions,"The Boat ride on the ghats of the holy ganga river is absolutely not  what i had come to expect after reading other reviews. First of all, I am surprised that kashi being a place where mainly senior citizens visit,  does not have  a single ghat which is accessible by wheel chair.  The newest Ghat Ramghat has a ramp but was closed.  The boat dock is a good 60 to 70 steps down. Next thing the boat operator takes you for the 30 min ride parallel to the ghats with out caring to explain the importance or history of any of the ghat. Most boats are motor boats which is so noisy, it just spoils the serenity of the holy ganges. Near the end of the ride arnd 6.30 pm, the boat operator steers the boat near to the ghats where evening Ganga Aarti is being performed, There are already about a 100 other boats and many more coming next jostling for space. Our boat guy managed to find space and we were about 6 to 7 rows of boats from the ghats. Now there are 2 groups of people in the Ghats who are performing evening aarti in the ghats and we were in the middle, so we are like listening to aarti, dhol and the chanting from both sides which is not is sync and chaotic. Then there are vendors who are selling tea and water and what not jumping from boat to boat.  All in all not at all a pleasant experience  for me unlike as mentioned in other reviews.",Mar 2023,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r563324163-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/4c/57/f8/daisynjud.jpg?w=100&h=-1&s=1,1.0 of 5 bubbles,"Dirty, filthy and be prepared to get harrassed",353 contributions,"How can people see this place as spiritual and peaceful? This place is awful. Trash everywhere, cow and human feces along the river, and the water is just disgusting with animal and human waste. I wouldn't even let a drop of water from the river get onto my body let alone take a swim in it. You walk along and get to witness the cremation on the ghats. We watched  from afar  as we wanted to respect the family's private moment. One Chinese guy was taking pictures of the bodies and we saw a family member snatch the camera from him and smashing it on the floor. So please be respectful and avoid taking pictures of the bodies. As we were watching the cremations, we were approached by teenagers offering us a menu of drugs. My husband told them to go away about three times and they wouldn't listen. Finally he told them he would get the police if they wouldn't stop. As you walk along the river you will be harassed by kids asking for money, men who try to sell you a boat ride and almost force you into their boats, people chasing you asking you to get a haircut by them, drug dealers, and random Indian locals approaching you trying to strike a conversation so they can convince you to buy whatever they're selling. So in summary,  this is what you will encounter at the holy, spiritual, famous Ganges River: filth, human and animal waste, harassment, obnoxious and pushy sellers (if you get on a boat ride, the pushy sellers are on the river too, following you on their boat!!), NO peace or spiritual moments. Only tiredness, frustration and disgust. We will never ever visit this dump again.",Dec 2017,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r127373940-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/3d/c6/fd/davronuneaton.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,life on the ganges,799 contributions,Walking along the ghats on foot was a great experience!  We walked along them at all times of the day-- early morning to later at night.  It was awesome!  We ate on the roof of the Ganatapi Guest House and the view from up there was amazing.  I would recommend for anyone to have breakfast up there at sunrise!,Feb 2012 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r129044098-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/67/03/28/adrianapdiaz.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Overwhelming! personal life changing experience..I have no words...,121 contributions,"Of all the touristic sites visited during my trip to India, Varanasi was the least expected for me, although many people ( including tour vendor) told us it was going to be the most appreciated experience. And it was. We arrived the day of Maha Shivrati  ( very sacred date for Shiva´s - an hindu deity, who habitates Varanasi), therefore a lot of devotees and pilgrims where arriving at Ganges river to bath , drink , and clean their sins. We have the magnificent oportunity thanks to our guide Daya Tiwari to enter a small Market, a very narrow place where to buy scences and some sacred rudrashkas ( no pics allowed).. Even we got some sandal paste in our foreheads from our guide who collected some for us while he attended a temple just for hinduist.  When my friend and I  saw during  the aftenoon the daily ceremony for Ganga river and in the sunrise also the offerings for our wishes for our friends, family and ourselves, our spines chilled ( in a good way), and  the feeling was undescribable. I was thinking in being shocked for all the legends of having corpses floating in the river while sailing them in the little boats, or the smell between human ashes, cow urine and all those mixtures you could find with so many people, but nothing so far reality. Many people would say that I could manage that  because I am used to big crowds and crazyness in my lovely Mexico City, but  If there were only one place to return, with closed eyes  I would choose Varanasi..",May 2011 • Friends,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r129706619-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,The holiest river in India,33 contributions,Enjoyed the AARTI ceremony - collective prayers at night and the morning rituals by the Ganga river.,Feb 2012 • Couples,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r131449371-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,3.0 of 5 bubbles,Meh...,4 contributions,"Interesting, but not as good as the beautiful cremation ceremonies in kathmandu. Its basically just a smelly, super dirty body burning factory. To be honest, i wanted to get out of there asap. My husband did the 5 am boat trip and said it was interesting and worth doing for sure.",Dec 2011 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r133507753-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Fabulous atmosphere,19 contributions,"A man rowed us up and down the Ganges, watching the ceremonies at various Ghats, all for a few hundred rupees. Perfect view of everything, and VERY atmospheric. Definitely a worthwhile trip. Would do it again in an instant.",Jun 2012 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r136764955-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/ba/9e/27/antoine-g.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,The Ganges River Is Fully Aware That She Is A Goddess,12 contributions,This river has a life force that has to be felt to be believed. Watching the sunrise over the Ganges river is one of the most unique and magical experiences I have ever had.,Oct 2011 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r139642727-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Unique Experience,48 contributions,I went on a day time river trip on the ganges and I did not expect to enjoy it nearly as much as I did. Observing the pilgrims flock to bathe in the holy waters is both a unique and humbling experience (especially given the water has been classified as septic) but it is a great way of getting to know more about the Hindu traditions and cultures.,Aug 2012 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r141878468-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/2b/4e/82/kscnair.jpg?w=100&h=-1&s=1,4.0 of 5 bubbles,Great sight to see the arthi,581 contributions,The performance during sun set every day at the Gangaji is a sight to behold. Be there in either a boat or in the banks in advance to ensure that you have a good view of the performance which last for about an hour. Dont miss this....,Sep 2012,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r143744555-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/81/da/a2/dr-b-maitra.jpg?w=100&h=-1&s=1,3.0 of 5 bubbles,"Half Ganga, half Land",594 contributions,The River has more silt than water. But the water is clear. You should definitely take a tour on its water by a local boat to see the various ghats. There is nothing to see on the other side of the river.,Oct 2012 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r144438919-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/15/aa/bb/internationalkg.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Give it your all and don't be a fraidy cat tourist,142 contributions,"Get to the evening ceremony at dusk and sit in the crowd, rise early and get on a boat, buy and bargain over postcards with the darling school girls",Oct 2012 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r145135505-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,4.0 of 5 bubbles,Sunrise!!,6 contributions,"One of the most impressive sunrises we have ever seen!!! We did a boat tour and had a really beautiful view. Looking forward to the next tour to the other side of the Ganga, as we're promised to experience some silent areas.",Nov 2012 • Friends,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r145722774-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/77/a2/bb/jools011.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,wow!,341 contributions,"I did an evening trip on the river, very busy, cremations and ceremonies etc. extremely interesting, colourful and noisy. I gave the river a candle and made a wish, (my cat was missing) my wish came true. Truly amazing place.",Nov 2012 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r146539844-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,do it!,23 contributions,"you can't miss it when you are in Varanasi, it's moving and unforgettable!",Aug 2012 • Couples,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r147100700-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Amazing shore to walk.,136 contributions,Just walk along the gange and watch. You'll see many things. Good and bad.,Apr 2012 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r147372823-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Ganga Aarti,67 contributions,Everyone should visit varanasi ganga banks while Dev Dipawali and also should be part of evening aarti of maa Ganga.,Dec 2012 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r147756812-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Light,29 contributions,Fantastic river life and light dawn and dusk. Water could be cleaner. The boat trips are a must and best negotiated directly with the men on the boat and no one else.,Oct 2012 • Friends,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r148296684-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,What an expertance,758 contributions,We had a good guide and went on boat at the night time the sights were better than expected saw bodies being immersed in the ghats then taken to be burned  thought it would be upsetting but felt privileged  to see it .Thought it would smell but no it didn't. We went down the ghats again in the morning and on the boat again it was something i will never forget,Nov 2012 • Friends,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r149353716-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/6e/1d/ed/shay4654.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Magic!,89 contributions,Morning boat ride....soak in the sights and sounds of the river and the ghats. Really special and must not miss. Early morning is best.,Dec 2012 • Family,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r150080454-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Go Ganges,21 contributions,"Take a boat ride up and down the Ganges. Should be 100 RS per person one way. I recommend a sunrise ride from Asi Gaht up to the main burning ghat. It's quiet and peaceful, good people watching, and cooler temps. However, there may not be too many burnings at that time. Caution: boats will pull up beside you and hand you flowers to put in the river, for good karma. Always ask how much they are before taking one. Also, if you get off at the burning ghats for a  ""tour"" be prepared to be asked for a donation. Again, be careful whom you give your money to, I suggest asking to put it in a donation box instead of giving it to your ""guide.""",Jan 2013 • Solo,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r150472380-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,5.0 of 5 bubbles,Evening Prayers - A Must Do,139 contributions,My husband and I took a boat by ourselves to the evening prayers and we found it very beautiful and peaceful.  It was lovely to share it privately without being squashed in a boat full of strangers.,Oct 2012 • Couples,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r150676969-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/d2/9f/13/ashish-v.jpg?w=100&h=-1&s=1,1.0 of 5 bubbles,Really? Is it still a river?,94 contributions,"Is this how a holy river should be? Ganga is highly overrated at every point beyond Rishikesh...or Haridwar at the most! In Varanasi - the holiest of all holy places - the river actually stinks of sewage. It needs to get the right attention on the world media - not that it is a holy river, but that it is a forlorn river!",Jan 2013 • Friends,,,,2024-01-24T13:55:29Z
Ganges River, Varanasi Uttar Pradesh ,g297685,d319858,4.5,https://www.tripadvisor.com/ShowUserReviews-g297685-d319858-r151406955-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/ce/default-avatar-2020-7.jpg?w=100&h=-1&s=1,4.0 of 5 bubbles,excellent ghats,18 contributions,"visit the ghats and get on the boat. watch the aarti at night from the boat, visit also the temple's around. take a boattrip on ganges.",Jan 2013 • Couples,,,,2024-01-24T13:55:29Z
