"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"City Palace of Udaipur","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2b/f0/f7/img-20181018-104236-01.jpg?w=500&h=-1&s=1","","","4.5","9,355","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d324469-Reviews-City_Palace_of_Udaipur-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Lake Pichola","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/77/15/9a/photo0jpg.jpg?w=500&h=-1&s=1","","","4.5","6,321","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d1491020-Reviews-Lake_Pichola-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Bagore Ki Haveli Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/2e/5a/peace-resides-here-for.jpg?w=500&h=-1&s=1","","","4.5","3,182","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d1206646-Reviews-Bagore_Ki_Haveli_Museum-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Jagdish Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/33/e8/34/incredible-art.jpg?w=500&h=-1&s=1","","","4.5","2,013","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d628535-Reviews-Jagdish_Temple-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Shri Ekling Ji Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d4/5c/be/eklingji-temple.jpg?w=500&h=400&s=1","","","4.5","1,343","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d502315-Reviews-Shri_Ekling_Ji_Temple-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Srinathji Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/97/c0/76/srinathji-temple.jpg?w=500&h=400&s=1","","","4.5","864","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d502314-Reviews-Srinathji_Temple-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Sahelion Ki Bari","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/af/47/e9/sahelion-ki-bari.jpg?w=500&h=400&s=1","","","4.0","2,109","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d311650-Reviews-Sahelion_Ki_Bari-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Jagmandir","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/85/5d/af/jag-mandir.jpg?w=500&h=400&s=1","","","4.0","1,377","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d2426206-Reviews-Jagmandir-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"City Palace Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/2a/a8/2d/city-palace-government.jpg?w=500&h=-1&s=1","","","4.0","819","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3912815-Reviews-City_Palace_Museum-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Shilpgram","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/be/2a/de/casas-de-tribos-da-regiao.jpg?w=500&h=-1&s=1","","","4.0","645","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d311645-Reviews-Shilpgram-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Sajjangarh Monsoon Palace","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cb/b8/e6/the-fort.jpg?w=500&h=400&s=1","","","4.0","2,180","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d320046-Reviews-Sajjangarh_Monsoon_Palace-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Animal Aid Unlimited","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2c/13/f5/calf-feeding.jpg?w=500&h=400&s=1","","","5.0","77","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12501287-Reviews-Animal_Aid_Unlimited-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Indigo Art School","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/95/77/bf/caption.jpg?w=500&h=400&s=1","","","5.0","34","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d19140347-Reviews-Indigo_Art_School-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Maharana Pratap Smarak","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/04/a3/b7/statue-of-maharana-pratap.jpg?w=500&h=-1&s=1","","","4.0","432","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4088687-Reviews-Maharana_Pratap_Smarak-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Nexus Celebration Mall","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/84/0f/8e/the-celebration-mall.jpg?w=500&h=400&s=1","","","4.5","254","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4311566-Reviews-Nexus_Celebration_Mall-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Fateh Sagar Lake","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4d/67/47/img20190713194007-largejpg.jpg?w=500&h=-1&s=1","","","4.5","182","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d14920336-Reviews-Fateh_Sagar_Lake-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Pita Shree Handicraft","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c6/14/d2/hand-embroidered-colourful.jpg?w=500&h=400&s=1","","","5.0","132","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d10824910-Reviews-Pita_Shree_Handicraft-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Ambrai Ghat","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/86/28/66/city-palace-during-sunset.jpg?w=500&h=400&s=1","","","4.5","101","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d11949848-Reviews-Ambrai_Ghat-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Maharana Pratap Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/db/06/18/maharana-pratap-museum.jpg?w=500&h=400&s=1","","","4.5","253","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d8865803-Reviews-Maharana_Pratap_Museum-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Urban Square Mall","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/fd/a4/a9/witness-the-magnificent.jpg?w=500&h=400&s=1","","","5.0","31","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d26889028-Reviews-Urban_Square_Mall-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Chetak Smarak","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d7/a4/04/chetak-smarak.jpg?w=500&h=400&s=1","","","4.0","482","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3553467-Reviews-Chetak_Smarak-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Art_en_Soul shoppe","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b9/92/cc/art-en-soul-shoppe.jpg?w=500&h=-1&s=1","","","5.0","43","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12146513-Reviews-Art_en_Soul_shoppe-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Fateh Prakash Palace","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/36/87/ae/fateh-prakash-palace.jpg?w=500&h=400&s=1","","","4.0","212","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d325125-Reviews-Fateh_Prakash_Palace-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Gothwal Art","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/85/bc/14/a-visit-yesterday-to.jpg?w=500&h=-1&s=1","","","5.0","423","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d6217815-Reviews-Gothwal_Art-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Karni Mata","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/be/2e/lake-pichhola-view-from.jpg?w=500&h=-1&s=1","","","4.5","67","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12833829-Reviews-Karni_Mata-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Bada Mahal","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/84/57/c4/welch-ein-fenster.jpg?w=500&h=400&s=1","","","4.5","84","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3151353-Reviews-Bada_Mahal-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Vintage Collection of Classic Cars Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/03/9d/08/vintage-collection-of.jpg?w=500&h=-1&s=1","","","3.5","1,136","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d2389697-Reviews-Vintage_Collection_of_Classic_Cars_Museum-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Sukhadia Circle Fountain","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/30/10/93/sukhadia-circle-fountain.jpg?w=500&h=-1&s=1","","","4.0","293","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3705682-Reviews-Sukhadia_Circle_Fountain-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Sajjangarh Wildlife Sanctuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/6f/14/c4/photo1jpg.jpg?w=500&h=-1&s=1","","","4.0","273","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4092611-Reviews-Sajjangarh_Wildlife_Sanctuary-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Bahubali Hills","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/87/90/98/day4-note9-bahuballi.jpg?w=500&h=400&s=1","","","4.5","19","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d19451926-Reviews-Bahubali_Hills-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Crystal Gallery","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/cf/37/75/crystal-gallery.jpg?w=500&h=-1&s=1","","","4.0","356","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4917391-Reviews-Crystal_Gallery-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Maharana Pratap Memorial","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/10/2a/d4/my-moment-at-maharana.jpg?w=500&h=-1&s=1","","","4.5","35","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d11871626-Reviews-Maharana_Pratap_Memorial-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Bharti Massage Center","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/8d/32/ec/bharti-massage-center.jpg?w=500&h=-1&s=1","","","5.0","924","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d3670343-Reviews-Bharti_Massage_Center-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Locky Art School & Art Gallery","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e1/a4/0d/getlstd-property-photo.jpg?w=500&h=-1&s=1","","","5.0","18","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d17601009-Reviews-Locky_Art_School_Art_Gallery-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Ganesham Art & Craft","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/54/9f/b1/ganesham-art-craft.jpg?w=500&h=-1&s=1","","","5.0","17","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d12074383-Reviews-Ganesham_Art_Craft-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Gangaur Ghat","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b2/ff/b4/wow-what-a-view.jpg?w=500&h=400&s=1","","","4.0","34","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d15123434-Reviews-Gangaur_Ghat-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Gulab Bagh","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/68/46/57/garden.jpg?w=500&h=400&s=1","","","3.5","215","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d4435371-Reviews-Gulab_Bagh-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Shashi Cooking Classes","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/8b/a5/e0/indian-authentic-cooking.jpg?w=500&h=400&s=1","","","5.0","858","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d1215081-Reviews-Shashi_Cooking_Classes-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
"Rishabhdeo Or Kesariyaji Jain Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c1/25/33/photo4jpg.jpg?w=500&h=400&s=1","","","4.5","63","","Asia > India > Rajasthan > Udaipur District > Udaipur > Things to Do in Udaipur","https://www.tripadvisor.com/Attraction_Review-g297672-d6648520-Reviews-Rishabhdeo_Or_Kesariyaji_Jain_Temple-Udaipur_Udaipur_District_Rajasthan.html","2024-02-29T19:42:45Z"
